Vandens telkinio pavadinimas,Kodas,Savivaldybė,Žuvų išteklių būklės indeksasi,Biomasė (kg)i,Gausumas (vnt.)i,Plėšrių žuvų gausumas (%)i,Plėšrių žuvų biomasė (%)i,Ešerys (Gausumas),Karšis (Gausumas),Unnamed: 10
Utenykštis,12130111,Utenos r. sav.,0.21,1.627,53,0.1,3.78,-,-,Plačiau
Vajuonis,12130127,Švenčionių r. sav.,0.28,2.445,66,0.58,6.55,-,-,Plačiau
Vidinkstas,12241566,Utenos r. sav.,0.3,1.677,51,0.3,2.37,-,1.4,Plačiau
Vievis,12030300,Elektrėnų sav.,0.4,7.771,121,1.33,12.29,41,-,Plačiau
Viešintas,41030053,Anykščių r. sav.,0.35,6.125,108,0.3,5.49,-,-,Plačiau
Vilkas,10030227,Druskininkų sav.,0.67,2.917,58,4.71,20.63,-,9.5,Plačiau
Vilkinys,10030253,Lazdijų r. sav.,0.5,2.908,54,1.3,0.0,-,2.6,Plačiau
Virintai,12241640,Molėtų r. sav.,0.52,3.519,64,1.9,17.82,16.8,-,Plačiau
Zapsys,10030110,Lazdijų r. sav.,1.0,1.318,31,1.0,1.0,-,4,Plačiau
Zarasas,50030302,Zarasų r. sav.,0.43,1.782,39,1.4,0.0,-,-,Plačiau
Čičirys,50030474,Zarasų r. sav.,0.6,9.08,75,1.87,23.71,-,-,Plačiau
Šlavantas,10030010,Lazdijų r. sav.,1.0,4.042,39,1.0,1.0,-,-,Plačiau
